"Sens Factor =-0.989dB, SERNO: 7165152"
10.054	-4.3217
10.179	-4.1685
10.306	-4.0185
10.434	-3.8716
10.564	-3.7280
10.696	-3.5875
10.829	-3.4501
10.964	-3.3157
11.1	-3.1843
11.238	-3.0560
11.378	-2.9306
11.52	-2.8082
11.663	-2.6886
11.809	-2.5720
11.956	-2.4582
12.104	-2.3471
12.255	-2.2389
12.408	-2.1334
12.562	-2.0305
12.718	-1.9304
12.877	-1.8329
13.037	-1.7380
13.199	-1.6457
13.364	-1.5560
13.53	-1.4688
13.698	-1.3840
13.869	-1.3017
14.042	-1.2218
14.216	-1.1443
14.393	-1.0691
14.573	-0.9964
14.754	-0.9258
14.938	-0.8575
15.124	-0.7915
15.312	-0.7276
15.503	-0.6659
15.696	-0.6064
15.891	-0.5489
16.089	-0.4934
16.289	-0.4400
16.492	-0.3887
16.697	-0.3392
16.905	-0.2918
17.115	-0.2462
17.328	-0.2024
17.544	-0.1606
17.763	-0.1205
17.984	-0.0822
18.208	-0.0457
18.434	-0.0108
18.664	0.0224
18.896	0.0539
19.131	0.0838
19.369	0.1122
19.611	0.1389
19.855	0.1642
20.102	0.1880
20.352	0.2104
20.605	0.2313
20.862	0.2508
21.122	0.2690
21.385	0.2858
21.651	0.3014
21.92	0.3157
22.193	0.3288
22.47	0.3407
22.749	0.3515
23.032	0.3611
23.319	0.3696
23.609	0.3770
23.903	0.3834
24.201	0.3888
24.502	0.3933
24.807	0.3968
25.116	0.3994
25.429	0.4012
25.745	0.4021
26.066	0.4022
26.39	0.4015
26.719	0.4001
27.051	0.3979
27.388	0.3951
27.729	0.3917
28.074	0.3876
28.424	0.3830
28.778	0.3778
29.136	0.3721
29.499	0.3659
29.866	0.3592
30.238	0.3522
30.614	0.3447
30.995	0.3369
31.381	0.3288
31.772	0.3204
32.167	0.3117
32.568	0.3028
32.973	0.2937
33.383	0.2845
33.799	0.2751
34.22	0.2656
34.646	0.2561
35.077	0.2465
35.514	0.2367
35.956	0.2269
36.403	0.2172
36.857	0.2078
37.315	0.1986
37.78	0.1897
38.25	0.1807
38.726	0.1713
39.209	0.1611
39.697	0.1500
40.191	0.1381
40.691	0.1254
41.198	0.1123
41.711	0.0990
42.23	0.0859
42.756	0.0731
43.288	0.0608
43.827	0.0491
44.372	0.0381
44.925	0.0279
45.484	0.0185
46.05	0.0099
46.623	0.0021
47.204	-0.0047
47.791	-0.0106
48.386	-0.0157
48.989	-0.0199
49.599	-0.0234
50.216	-0.0265
50.841	-0.0293
51.474	-0.0321
52.115	-0.0348
52.764	-0.0376
53.42	-0.0403
54.085	-0.0430
54.759	-0.0454
55.44	-0.0476
56.131	-0.0495
56.829	-0.0511
57.537	-0.0525
58.253	-0.0539
58.978	-0.0555
59.712	-0.0574
60.456	-0.0598
61.208	-0.0627
61.97	-0.0661
62.742	-0.0698
63.523	-0.0734
64.314	-0.0764
65.114	-0.0783
65.925	-0.0791
66.745	-0.0786
67.576	-0.0772
68.418	-0.0752
69.269	-0.0729
70.132	-0.0705
71.005	-0.0684
71.889	-0.0668
72.784	-0.0658
73.69	-0.0655
74.607	-0.0659
75.536	-0.0670
76.476	-0.0688
77.428	-0.0712
78.392	-0.0742
79.368	-0.0779
80.356	-0.0823
81.356	-0.0875
82.369	-0.0934
83.394	-0.1000
84.433	-0.1071
85.484	-0.1149
86.548	-0.1233
87.625	-0.1323
88.716	-0.1420
89.82	-0.1524
90.939	-0.1634
92.071	-0.1749
93.217	-0.1865
94.377	-0.1981
95.552	-0.2094
96.742	-0.2201
97.946	-0.2303
99.165	-0.2400
100.4	-0.2490
101.65	-0.2574
102.915	-0.2653
104.196	-0.2727
105.493	-0.2798
106.806	-0.2865
108.136	-0.2931
109.482	-0.2994
110.845	-0.3056
112.225	-0.3115
113.622	-0.3170
115.037	-0.3220
116.469	-0.3267
117.919	-0.3310
119.386	-0.3348
120.873	-0.3383
122.377	-0.3413
123.901	-0.3440
125.443	-0.3462
127.005	-0.3480
128.586	-0.3492
130.187	-0.3496
131.807	-0.3491
133.448	-0.3474
135.109	-0.3446
136.791	-0.3408
138.494	-0.3363
140.218	-0.3312
141.964	-0.3257
143.731	-0.3199
145.52	-0.3139
147.332	-0.3079
149.166	-0.3017
151.023	-0.2951
152.903	-0.2883
154.806	-0.2813
156.734	-0.2742
158.685	-0.2672
160.66	-0.2603
162.66	-0.2535
164.685	-0.2470
166.735	-0.2411
168.811	-0.2358
170.912	-0.2309
173.04	-0.2263
175.194	-0.2213
177.375	-0.2158
179.583	-0.2094
181.819	-0.2023
184.082	-0.1946
186.374	-0.1866
188.694	-0.1783
191.043	-0.1697
193.421	-0.1607
195.829	-0.1515
198.267	-0.1421
200.735	-0.1326
203.234	-0.1232
205.764	-0.1138
208.325	-0.1044
210.919	-0.0952
213.544	-0.0863
216.203	-0.0778
218.894	-0.0701
221.619	-0.0631
224.378	-0.0569
227.171	-0.0512
229.999	-0.0458
232.862	-0.0404
235.761	-0.0348
238.696	-0.0291
241.668	-0.0232
244.676	-0.0171
247.722	-0.0110
250.806	-0.0048
253.928	0.0012
257.089	0.0073
260.29	0.0134
263.53	0.0195
266.81	0.0254
270.132	0.0308
273.495	0.0360
276.899	0.0410
280.346	0.0459
283.836	0.0505
287.37	0.0545
290.947	0.0576
294.569	0.0595
298.236	0.0603
301.949	0.0602
305.708	0.0596
309.513	0.0588
313.366	0.0579
317.267	0.0568
321.217	0.0554
325.216	0.0536
329.264	0.0514
333.363	0.0486
337.513	0.0452
341.715	0.0413
345.969	0.0369
350.276	0.0324
354.636	0.0281
359.051	0.0242
363.521	0.0209
368.046	0.0182
372.628	0.0160
377.266	0.0140
381.963	0.0118
386.718	0.0090
391.532	0.0055
396.406	0.0016
401.341	-0.0022
406.337	-0.0060
411.395	-0.0096
416.517	-0.0132
421.702	-0.0169
426.951	-0.0206
432.266	-0.0244
437.648	-0.0283
443.096	-0.0319
448.612	-0.0352
454.196	-0.0380
459.851	-0.0404
465.575	-0.0423
471.371	-0.0439
477.239	-0.0450
483.18	-0.0458
489.195	-0.0463
495.285	-0.0468
501.45	-0.0472
507.693	-0.0478
514.013	-0.0487
520.412	-0.0498
526.89	-0.0511
533.449	-0.0526
540.09	-0.0539
546.814	-0.0550
553.621	-0.0557
560.513	-0.0558
567.49	-0.0553
574.555	-0.0544
581.707	-0.0532
588.949	-0.0522
596.281	-0.0514
603.703	-0.0510
611.219	-0.0511
618.828	-0.0513
626.531	-0.0516
634.331	-0.0517
642.228	-0.0514
650.222	-0.0505
658.317	-0.0494
666.512	-0.0484
674.809	-0.0475
683.21	-0.0467
691.715	-0.0459
700.326	-0.0451
709.044	-0.0442
717.871	-0.0432
726.807	-0.0422
735.855	-0.0411
745.016	-0.0399
754.29	-0.0386
763.68	-0.0372
773.187	-0.0357
782.812	-0.0340
792.557	-0.0323
802.424	-0.0303
812.413	-0.0282
822.526	-0.0260
832.766	-0.0237
843.133	-0.0215
853.629	-0.0195
864.255	-0.0180
875.014	-0.0171
885.907	-0.0168
896.935	-0.0173
908.101	-0.0186
919.406	-0.0205
930.851	-0.0232
942.439	-0.0265
954.171	-0.0303
966.049	-0.0347
978.076	-0.0396
990.251	-0.0448
1002.579	-0.0503
1015.06	-0.0561
1027.696	-0.0621
1040.489	-0.0682
1053.442	-0.0743
1066.556	-0.0802
1079.833	-0.0859
1093.276	-0.0912
1106.886	-0.0962
1120.665	-0.1011
1134.616	-0.1059
1148.741	-0.1107
1163.041	-0.1155
1177.519	-0.1205
1192.178	-0.1256
1207.019	-0.1308
1222.045	-0.1361
1237.258	-0.1415
1252.66	-0.1470
1268.254	-0.1527
1284.042	-0.1585
1300.027	-0.1644
1316.211	-0.1703
1332.596	-0.1762
1349.185	-0.1822
1365.981	-0.1882
1382.985	-0.1942
1400.202	-0.2000
1417.633	-0.2056
1435.28	-0.2107
1453.148	-0.2151
1471.238	-0.2190
1489.553	-0.2220
1508.096	-0.2243
1526.87	-0.2258
1545.877	-0.2265
1565.121	-0.2263
1584.605	-0.2252
1604.332	-0.2231
1624.303	-0.2201
1644.524	-0.2163
1664.996	-0.2119
1685.723	-0.2069
1706.708	-0.2012
1727.955	-0.1952
1749.466	-0.1887
1771.244	-0.1819
1793.294	-0.1748
1815.618	-0.1675
1838.221	-0.1598
1861.104	-0.1516
1884.272	-0.1430
1907.729	-0.1340
1931.478	-0.1247
1955.523	-0.1151
1979.866	-0.1055
2004.513	-0.0961
2029.467	-0.0869
2054.731	-0.0780
2080.31	-0.0693
2106.207	-0.0609
2132.427	-0.0527
2158.973	-0.0446
2185.849	-0.0366
2213.06	-0.0287
2240.61	-0.0210
2268.503	-0.0136
2296.743	-0.0066
2325.334	0.0004
2354.282	0.0075
2383.59	0.0150
2413.262	0.0228
2443.305	0.0310
2473.721	0.0397
2504.515	0.0487
2535.693	0.0580
2567.26	0.0675
2599.219	0.0771
2631.576	0.0868
2664.335	0.0966
2697.503	0.1065
2731.084	0.1167
2765.082	0.1270
2799.504	0.1376
2834.354	0.1485
2869.638	0.1598
2905.362	0.1714
2941.53	0.1834
2978.148	0.1960
3015.222	0.2090
3052.758	0.2225
3090.761	0.2365
3129.237	0.2510
3168.192	0.2660
3207.632	0.2817
3247.563	0.2981
3287.991	0.3156
3328.923	0.3344
3370.364	0.3546
3412.32	0.3765
3454.799	0.4001
3497.807	0.4255
3541.351	0.4526
3585.436	0.4812
3630.07	0.5111
3675.26	0.5419
3721.012	0.5736
3767.334	0.6059
3814.233	0.6387
3861.715	0.6720
3909.789	0.7056
3958.46	0.7396
4007.738	0.7741
4057.63	0.8093
4108.142	0.8452
4159.283	0.8820
4211.061	0.9195
4263.483	0.9579
4316.559	0.9970
4370.294	1.0369
4424.699	1.0774
4479.781	1.1186
4535.548	1.1604
4592.01	1.2028
4649.175	1.2457
4707.051	1.2890
4765.648	1.3327
4824.975	1.3766
4885.039	1.4208
4945.852	1.4654
5007.421	1.5107
5069.757	1.5567
5132.87	1.6034
5196.768	1.6504
5261.46	1.6976
5326.959	1.7445
5393.273	1.7910
5460.413	1.8367
5528.388	1.8819
5597.209	1.9265
5666.887	1.9703
5737.433	2.0135
5808.857	2.0561
5881.169	2.0982
5954.383	2.1402
6028.507	2.1821
6103.555	2.2244
6179.536	2.2674
6256.464	2.3116
6334.349	2.3575
6413.204	2.4051
6493.04	2.4546
6573.87	2.5061
6655.706	2.5596
6738.562	2.6146
6822.448	2.6703
6907.379	2.7259
6993.367	2.7801
7080.426	2.8312
7168.568	2.8772
7257.808	2.9169
7348.158	2.9506
7439.633	2.9790
7532.248	3.0029
7626.015	3.0240
7720.949	3.0438
7817.065	3.0629
7914.377	3.0817
8012.901	3.0998
8112.652	3.1165
8213.645	3.1305
8315.894	3.1398
8419.416	3.1438
8524.228	3.1424
8630.343	3.1367
8737.78	3.1278
8846.555	3.1167
8956.683	3.1038
9068.182	3.0896
9181.069	3.0737
9295.362	3.0561
9411.078	3.0364
9528.233	3.0139
9646.849	2.9880
9766.939	2.9583
9888.525	2.9245
10011.625	2.8863
10136.257	2.8440
10262.44	2.7978
10390.195	2.7479
10519.54	2.6941
10650.495	2.6365
10783.08	2.5746
10917.316	2.5080
11053.223	2.4363
11190.821	2.3597
11330.133	2.2791
11471.179	2.1954
11613.98	2.1105
11758.561	2.0267
11904.939	1.9465
12053.141	1.8716
12203.188	1.8018
12355.102	1.7365
12508.907	1.6754
12664.627	1.6172
12822.286	1.5609
12981.907	1.5059
13143.516	1.4517
13307.136	1.3987
13472.793	1.3468
13640.512	1.2964
13810.319	1.2486
13982.24	1.2041
14156.302	1.1625
14332.529	1.1230
14510.951	1.0848
14691.595	1.0472
14874.486	1.0103
15059.655	0.9739
15247.129	0.9387
15436.937	0.9050
15629.106	0.8734
15823.669	0.8446
16020.654	0.8194
16220.091	0.7983
16422.01	0.7824
16626.443	0.7730
16833.422	0.7713
17042.977	0.7761
17255.141	0.7880
17469.945	0.8066
17687.424	0.8312
17907.609	0.8289
18130.537	0.8285
18356.24	0.8302
18584.752	0.8344
18816.107	0.8413
19050.346	0.8506
19287.498	0.8620
19527.604	0.8749
19770.697	0.8886
20016.816	0.9028

